10,15,38,90
10,20,44,110
10,25,50,117
10,30,56,125
10,35,62,132
10,40,64,140
10,45,67,152
10,50,70,156
10,55,82,165
10,60,98,202
15,15,44,130
15,20,48,145
15,25,56,158
15,30,62,170
15,35,68,188
15,40,70,196
15,45,74,211
15,50,76,224
15,55,88,238
15,60,104,278
20,15,50,155
20,20,54,175
20,25,62,209
20,30,68,225
20,35,93,318
20,40,126,350
20,45,159,400
20,50,189,440
20,55,215,470
20,60,232,496
25,15,56,218
25,20,62,291
25,25,74,339
25,30,85,398
25,35,92,472
25,40,189,542
25,45,225,581
25,50,239,640
25,55,270,685
25,60,291,727
30,15,62,170
30,20,68,225
30,25,85,258
30,30,88,301
30,35,110,365
30,40,139,465
30,45,220,530
30,50,290,725
30,55,317,778
30,60,346,831
35,15,78,270
35,20,99,348
35,25,112,491
35,30,151,528
35,35,178,571
35,40,225,683
35,45,197,764
35,50,342,814
35,55,368,875
35,60,399,941
40,15,70,196
40,20,76,272
40,25,111,315
40,30,179,405
40,35,219,473
40,40,269,590
40,45,310,665
40,50,377,901
40,55,414,972
40,60,456,1041
